Sample_ID,hsa.miR.148a.3p,hsa.let.7g.5p,hsa.let.7f.5p,hsa.miR.30a.5p,hsa.miR.146b.5p,hsa.miR.200a.3p,hsa.miR.3168,hsa.miR.99b.5p,hsa.miR.23a.3p,hsa.miR.671.3p,hsa.miR.30d.5p,hsa.let.7b.5p,hsa.let.7i.5p,hsa.miR.26a.5p,hsa.miR.21.5p,hsa.let.7a.5p,hsa.miR.99a.5p,hsa.miR.200c.3p,hsa.miR.151a.3p,hsa.miR.423.5p,hsa.miR.200a.5p,hsa.miR.378a.3p,hsa.miR.146a.5p,hsa.miR.141.3p,hsa.miR.25.3p,hsa.miR.200b.3p,hsa.miR.125b.5p,hsa.miR.22.3p,hsa.miR.183.5p,hsa.miR.27a.3p,hsa.miR.224.5p,hsa.miR.143.3p,hsa.miR.193a.5p,hsa.miR.30c.5p,hsa.miR.152.3p,hsa.miR.30a.3p,hsa.miR.423.3p,hsa.miR.27a.5p,hsa.miR.342.3p,hsa.miR.30b.5p,hsa.miR.24.3p,hsa.miR.186.5p,hsa.miR.1246,hsa.miR.744.5p,hsa.miR.222.3p,hsa.miR.320a,hsa.miR.101.3p,hsa.let.7c.5p,hsa.miR.335.3p,hsa.let.7e.5p,hsa.miR.511.5p,hsa.miR.30e.5p,hsa.miR.29c.5p,hsa.miR.375,hsa.miR.532.5p,hsa.miR.30e.3p,hsa.miR.27b.3p,hsa.miR.181a.5p,hsa.miR.191.5p,hsa.miR.182.5p,hsa.miR.92a.3p,hsa.miR.429,hsa.miR.26b.5p,hsa.miR.125a.5p,hsa.miR.181b.5p,hsa.miR.1307.3p,hsa.miR.148b.3p,hsa.miR.28.3p,hsa.miR.29a.3p,hsa.let.7d.5p,hsa.miR.361.3p,hsa.miR.23b.3p,hsa.miR.100.5p,hsa.miR.3615,hsa.let.7d.3p,hsa.miR.98.5p,hsa.miR.103a.3p,hsa.miR.499a.5p,hsa.miR.200b.5p,hsa.miR.7.5p,hsa.miR.146b.3p,hsa.miR.205.5p,hsa.miR.365a.3p.hsa.miR.365b.3p,hsa.miR.484,hsa.miR.148a.5p,hsa.miR.99b.3p,hsa.miR.193b.3p,hsa.miR.941,hsa.miR.10a.5p,hsa.miR.125b.2.3p,hsa.miR.128.3p,hsa.miR.22.5p,hsa.miR.374b.5p,hsa.miR.197.3p,hsa.miR.340.5p,hsa.miR.664a.5p,hsa.miR.140.3p,hsa.miR.3182,hsa.miR.16.5p,hsa.miR.1260b,hsa.miR.181a.2.3p,hsa.miR.885.5p,hsa.miR.652.3p,hsa.miR.345.5p,hsa.miR.196a.5p,hsa.miR.192.5p,hsa.miR.335.5p,hsa.miR.106b.3p,hsa.miR.425.5p,hsa.miR.193a.3p,hsa.miR.6510.3p,hsa.miR.664a.3p,hsa.miR.221.3p,hsa.miR.378d,hsa.miR.195.5p,hsa.miR.92b.3p,hsa.miR.361.5p,hsa.miR.339.5p,hsa.miR.421,hsa.miR.4443,hsa.miR.452.5p,hsa.mir.378c,hsa.miR.218.5p,hsa.miR.28.5p,hsa.miR.326,hsa.let.7b.3p,hsa.miR.20a.5p,hsa.miR.93.5p,hsa.miR.328.3p,hsa.miR.374a.5p,hsa.miR.148b.5p,hsa.miR.339.3p,hsa.miR.181a.3p,hsa.miR.1287.5p,hsa.miR.331.3p,hsa.miR.107,hsa.miR.320b,hsa.miR.30d.3p,hsa.miR.576.5p,hsa.miR.589.5p,hsa.miR.187.3p,hsa.miR.425.3p,hsa.miR.150.5p,hsa.miR.574.3p,hsa.miR.7706,hsa.miR.629.5p,hsa.miR.378c,hsa.miR.147b,hsa.miR.2110,hsa.miR.16.2.3p,hsa.miR.29b.3p,hsa.miR.574.5p,hsa.miR.210.3p,hsa.miR.30c.2.3p,hsa.miR.1301.3p,hsa.miR.1299,hsa.miR.29c.3p,hsa.let.7a.3p,hsa.miR.195.3p,hsa.miR.155.5p,hsa.miR.769.5p,hsa.miR.501.3p,hsa.miR.184,hsa.miR.760,hsa.miR.17.5p,hsa.miR.96.5p,hsa.miR.378g,hsa.miR.19b.3p,hsa.miR.130b.3p,hsa.miR.185.5p,hsa.miR.378e,hsa.miR.340.3p,hsa.miR.1307.5p,hsa.miR.221.5p,hsa.miR.190b,hsa.miR.193b.5p,hsa.miR.365b.5p,hsa.miR.194.5p,hsa.miR.196b.5p,hsa.miR.135a.5p,hsa.miR.106b.5p,hsa.miR.125a.3p,hsa.miR.203a.3p,hsa.miR.885.3p,hsa.miR.598.3p,hsa.miR.223.5p,hsa.miR.1303,hsa.miR.15b.5p,hsa.miR.320c,hsa.miR.199a.3p.hsa.miR.199b.3p,hsa.miR.378f,hsa.miR.320d,hsa.let.7f.1.3p,hsa.miR.324.3p,hsa.miR.342.5p,hsa.mir.30c.2,hsa.miR.24.2.5p,hsa.mir.30c.1,hsa.miR.223.3p,hsa.miR.330.3p,hsa.mir.320b.1,hsa.miR.500a.3p,hsa.mir.320b.2,hsa.mir.320a,hsa.miR.502.3p,hsa.miR.181d.5p,hsa.miR.660.5p,hsa.miR.4429,hsa.miR.511.3p
MOM.184,207959,24120,12788,9929,32504,20602,14,1314,750.5,8,15950,20796,20667,13622,3827,13501.5,7398,7250,6060,1023,1149,1914.33333333333,720,998,1015,7889,858,2420,886,1216.5,1088,48,904,1224,514,602,1008,110,95,736.166666666667,756,449,6,58,85,891.416666666667,1024,3900.5,626,166,1213,555,47,4375,153,546,1118.5,2059,1994,1991,1751,1059,881,827,667,643,640,593,527,506,484,325.5,307,260,258,250,242.5,217,206,197,195,194,187,176,173,171,168,161,158,153,147,146,129,129,122,110,105,103,97,95,93,84,75,74,74,72,68,68,64,58,54,53,53,50.8333333333333,49,46,42,40,39,39,39,36.8333333333333,36,36,34,34,34,33,33,33,32,31,30,29,28,27.5,27.4166666666667,27,27,26,26,25,25,24,23,23,22,22,22,22,21,20,20,20,20,20,19,19,19,19,18,17,16,16,16,15,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,9,9,9,8.41666666666667,8,8,7.08333333333333,7,7,7,6.16666666666667,6,5.66666666666667,5,5,4,4,2.33333333333333,2,2,2,1,1,1
MOM.048,146504,10515,2992,7326.5,10158,11539,1,644,795.5,12,4243.5,4453,2946,2787,2611,1509,3374,906,2063,1371,456,2630.5,671,840,424,1158,123,2211,454,636,306,87,443,731,312,170,251,230,30,2121.5,440,249,1,37,53,640,898,327,117,23,351,438,21,1793,62,169,431,582,824,738,527,661,302,61,295,229,860,157,734,87,88,131.5,281,40,69,95,77.5,489,68,57,106,56,106,86,224,148,214,15,351,116,23,263,52,108,72,30,202,201,66,28,30,91,32,80,32,67,51,39,26,109,5,12,82,92,6,21,9,9,15,17,20,140.5,46,1,33,41,31,38,26,19,25,30,4,22,6,41.5,24,22,13,11,58,31,0,56,4,24,27,6,6,5,32,40,11,7,2,16,61,68,4,4,4,10,5,2,9,12,14,30,14,35,23,0,6,2,9,22,0,0,4,7,44,12,11,9,33,10,16,9,9.95,27,15,10.7333333333333,8,18,3,18,5,20.5,2,0,1.65,9.5,0.983333333333333,0.783333333333333,4.5,3,15,0,22
MOM.135,308953,23346,5115,12665.5,11118,15821,6,433,1181,16,13277.5,3038,3697,4160,2027,2205,1110,2028,3446,928,976,2394.66666666667,359,831,693,2235,143,3147,1570,1019.5,200,112,182,801,429,537,532,40,128,4962,919,548,33,19,30,392.5,753,540,175,28,875,644,56,2824,104,353,476.5,948,1798,2918,1078,1000,545,222,321,97,1517,172,968,208,522,265,288,205,140,161,205.5,493,70,46,145,171,194,106,578,147,715,18,468,199,69,286,141,216,96,43,323,184,89,94,75,292,51,130,83,83,32,24,69,184,12,97,112,94.8333333333333,17,39,52,38,33,1,16,5.83333333333333,19,19,29,45,39,137,39,26,14,59,32,36,16,69.5,32.5,29,3,24,65,87,3,188,5,46,45,0,1,2,25,31,18,32,5,6,55,14,10,0,17,40,1,5,10,27,16,14,17,18,13.3333333333333,9,20,16,1,0,8,3,1,9,113,3,16,4,31,11,24,20,5.2,6,10,0.2,17,27,1,8,4,28,59,19,0.2,25.5,0.2,0.2,23.5,0,23,0,62
MOM.050,56677,11660,24476,2769,29657,6884,19,518,428.5,0,2578,36866,12054,14049,31588,39742,834,4716,3408,23486,686,8695.33333333333,12776,368,890,5924,68,4067,497,4203.5,1186,1040,1178,307,232,1007,1323,789,123,107.333333333333,2805,374,295,124,327,13559.1666666667,600,3849,29,981,471,142,16,2575,1181,946,1177,1925,596,523,499,236,489,53,674,311,132,708,458,878,709,71.5,138,49,107,223,299,140,171,144,306,1080,9,222,164,38,2,101,618,25,82,380,74,47,153,102,552,15,139,34,143,4,112,105,103,53,66,164,0,14,81,10,667,103,17,17,51,17,8,434,86,95.9166666666666,24,26,28,53,50,48,31,0,5,123,50,19,0,32,965.166666666667,0,0,15,0,90,19,36,27,1832,62,25,31,61,3,3,48,75,43,8,1,29,4,1049,48,159,38,16,30,0,78,60,55,138,31.0833333333333,12,0,5,12,135,65,0,27,8,0,90,74,19,0,164,32,6,352.4,15,31,130.933333333333,11,0,317,0.333333333333333,8,0.333333333333333,32,15,8.6,172.5,7.1,7.43333333333333,94.5,77,0,32,6
MOM.126,338601,34333,10380,14405,10374,42334,12,1106,1109.5,18,11838,8692,7173,6611,4402,6526.5,3341,3353,5269,1362,1037,2432.16666666667,855,1568,1309,3841,405,4012,1074,1356,1137,98,593,1345,304,1335,1041,205,108,3831.83333333333,899,441,35,39,76,1068.5,1361,1097.5,303,37,1701,653,33,4231,151,591,993,2329,2698,1932,1952,1774,687,523,714,134,1584,398,2419,415,630,351.5,417,255,242,212,180,440,101,76,140,325,292,239,565,181,735,47,828,144,113,437,219,183,128,106,516,57,109,22,112,186,91,171,22,139,90,81,49,176,32,50,103,50.0833333333333,32,55,57,40,20,1,62,86.5833333333333,36,6,12,80,79,218,54,32,21,63,12,42,17,71,77.5,76,21,22,79,38,1,260,24,38,17,25,16,14,83,20,42,17,5,423,138,37,22,15,10,31,13,7,15,16,22,16,10,24,11.5833333333333,2,14,21,6,23,0,3,5,35,46,10,26,11,45,20,8,28,15.15,21,10,6.9,12,18,17,1.83333333333333,3,5.33333333333333,13,9,2.15,15.5,1.9,1.9,19.5,9,8,6,5
MOM.075,226631,8765,2428,4547,11483,9691,29,968,950,16,9092,9956,5712,4092,1543,3632.5,2604,2457,3384,2860,610,1312.5,416,270,1289,2384,305,3306,1561,1009.5,1220,53,699,727,196,812,1184,13,54,866.833333333333,819,239,24,57,99,1731.25,285,1277.5,264,63,2886,338,51,5545,104,411,549.5,1022,1971,1428,1420,496,137,480,392,248,531,222,735,206,405,262,398,244,291,49,77.5,146,134,20,117,115,143,236,271,75,308,54,1254,86,192,332,92.5,102,14,144,188,57,78,5,116,106,41,109,11,69,46,70,57,26,20,17,47,34.5,12,101,11,10,20,13,35,14,0,0,19,27,7,8,9,12,29,39,16,27,0,18.5,91.25,0,15,49,124,31,0,110,33,32,7,4,0,32,17,2,0,15,3,13,37,8,21,6,25,32,0,1,9,0,19,4,8,1,14.5,1,12,9,0,8,0,0,0,5,21,53,23,10,15,43,23,14,24.6833333333333,13,4,7.61666666666667,9,0,22,0.333333333333333,0,1.83333333333333,22,0,2.53333333333333,0,2.53333333333333,1.6,0,0,0,1,0
MOM.190,183149,5072,2621,3527,14311,5814,21,863,252,59,14540,15024,3032,5805,1167,5859.5,1676,3252,4161,1244,688,1194.5,436,185,849,3223,465,1901,1189,463,276,36,702,555,330,529,980,66,35,211,363,134,13,79,341,941.75,249,2089.5,230,85,2714,211,17,5799,169,300,419,1198,1028,1101,1109,465,173,814,288,385,198,257,212,204,185,69,252,339,213,65,57.5,159,165,21,73,129,112,49,77,48,41,54,1227,36,254,136,31,114,38,29,49,69,16,8,50,68,17,27,148,76.5,22,51,18,18,6,15,93,33,16,49,8,0,0,19,3,41.5,37,7,4,16,18,7,35,4,13,28,13,13,0,9.5,32.75,23,7,4,46,30,31,48,25,40,1,6,23,5,5,0,25,0,42,5,0,9,38,70,2,25,20,12,0,18,10,4,0,9,7,31,0,40,0,12,14,9,0,3,9,0,11,9,1,29,8,0,15.45,1,3,1.45,4,0,24,0,8,0,6,0,0.2,8.5,0.2,0.2,22.5,1,7,0,0
MOM.110,372139,22042,10959,16418,22295,21316,20,2252,3323.5,24,14664,12161,12658,12913,8747,7846.5,3099,4115,8195,4162,1228,4865.5,1171,1033,2866,4867,474,5981,1255,3998.5,2007,1683,1047,1626,964,729,727,287,188,2657.66666666667,2266,425,82,71,86,2765.66666666667,838,1200.5,413,224,2890,737,20,4114,270,746,1338.5,1870,2706,1710,2208,1254,769,316,855,684,1959,664,1659,344,441,666.5,492,333,323,281,247,226,171,262,361,721,446,332,467,280,525,47,1683,218,218,722,118,415,185,173,576,463,162,61,82,331,151,313,34,264,127,290,72,194,0,55,99,102.5,54,82,124,64,34,70,74,76,21,23,69,208,62,118,85,49,34,61,39,36,2,77,141.666666666667,25,36,36,114,107,15,173,0,120,57,35,8,44,41,57,24,0,19,0,63,44,22,73,28,66,2,2,19,18,51,57,42,15,33.5,14,40,17,13,67,24,18,38,10,48,72,87,16,36,132,28,37,17.4666666666667,6,31,12.2,6,40,0,5.16666666666667,36,5.16666666666667,350,0,2.2,18,0.8,2.2,31,21,28,10,45
MOM.042,259782,5285,1725,3461,12822,8145,29,814,286,55,12006,8529,2348,6041,752,2583,1846,1796,3830,1258,789,1262,232,272,809,1964,291,2206,1063,604.5,342,61,724,904,286,496,1026,37,36,505,434,258,20,45,188,1079,454,986,178,32,3125,197,15,5120,92,380,401.5,966,1442,1246,951,661,186,499,294,286,408,207,243,98,151,61,200,366,130,74,49.5,369,121,15,86,77,52,121,183,59,139,21,1728,62,230,318,18,132,86,65,78,31,18,11,33,145,35,38,56,82,22,24,43,8,13,4,114,11.1666666666667,51,44,0,26,7,19,19,16.8666666666667,13,16,20,9,21,35,22,7,13,32,13,0,6,9.5,29,6,4,13,42,6,1,39,25,44,6,4,33,13,5,0,2,40,13,0,8,51,33,27,9,11,3,0,0,9,5,0,0,12,5.2,1,0,28,0,25,0,17,7,0,0,12,13,5,5,8,0,1,4,2,5,0,20,5,24,12,11,1,0,13,0,0,0,0,0,1,0,6,19
MOM.139,371611,48089,10849,21374.5,39845,32688,12,1855,2374.5,55,18560.5,12809,15156,11299,8518,6541,3495,3894,7768,1397,1428,5867.16666666666,1315,2392,1970,4447,755,4200,1188,2818,1624,381,1168,2313,626,605,845,111,147,4739.83333333333,1766,711,18,112,95,936.166666666667,2038,1264,593,114,1087,1272,44,4496,180,480,1394,2168,3971,2320,2086,2300,1234,409,939,945,2100,508,1072,353,310,506.5,289,291,328,255,213.5,884,156,265,420,486,371,165,376,363,479,161,1610,310,144,562,235.5,383,239,122,449,289,202,75,97,335,115,208,56,282,162,109,81,643,57,85,112,138.083333333333,49,111,38,58,44,19,85,200.583333333333,71,23,128,102,86,163,49,30,54,109,28,61,73,100.5,37.1666666666667,31,23,9,78,49,13,88,13,48,79,62,16,20,20,68,31,16,18,450,65,62,1,10,40,32,10,27,43,37,42,54,27,47,40.75,4,41,33,11,29,20,20,45,26,83,25,19,19,56,23,54,3,9.06666666666667,17,25,4.4,39,47,2,32.8333333333333,21,31.3333333333333,8,24,1.4,31.5,1.4,1.4,36.5,22,28,0,36
